Malta,MLT,2015,7.2,35.937496,14.375416
Mauritania,MRT,2015,0.1,21.00789,-10.940835
Mauritius,MUS,2015,4,-20.348404,57.552152
Mexico,MEX,2015,6.8,23.634501,-102.552784
Micronesia (country),FSM,2015,3.5,7.425554,150.550812
Moldova,MDA,2015,17.4,47.411631,28.369885
Mongolia,MNG,2015,7.8,46.862496,103.846656
Montenegro,MNE,2015,11.5,42.708678,19.37439
Morocco,MAR,2015,0.7,31.791702,-7.09262
Mozambique,MOZ,2015,2,-18.665695,35.529562
Myanmar,MMR,2015,0.7,21.913965,95.956223
Namibia,NAM,2015,11.8,-22.95764,18.49041
Nauru,NRU,2015,3,-0.522778,166.931503
Nepal,NPL,2015,2.1,28.394857,84.124008
Netherlands,NLD,2015,9.6,52.132633,5.291266
New Zealand,NZL,2015,11.2,-40.900557,174.885971
Nicaragua,NIC,2015,4.6,12.865416,-85.207229
Niger,NER,2015,0.3,17.607789,8.081666
Nigeria,NGA,2015,11.3,9.081999,8.675277
North Korea,PRK,2015,4.4,40.339852,127.510093
Norway,NOR,2015,7,60.472024,8.468946
Oman,OMN,2015,0.9,21.512583,55.923255
Pakistan,PAK,2015,0.1,30.375321,69.345116
Panama,PAN,2015,7.7,8.537981,-80.782127
Papua New Guinea,PNG,2015,3.1,-6.314993,143.95555
Paraguay,PRY,2015,9.6,-23.442503,-58.443832
Peru,PER,2015,5.2,-9.189967,-75.015152
Philippines,PHL,2015,5.6,12.879721,121.774017
Poland,POL,2015,11.5,51.919438,19.145136
Portugal,PRT,2015,12.5,39.399872,-8.224454
Qatar,QAT,2015,1.3,25.354826,51.183884
Romania,ROU,2015,12.9,45.943161,24.96676
Russia,RUS,2015,14.5,61.52401,105.318756
Rwanda,RWA,2015,10,-1.940278,29.873888
Saint Kitts and Nevis,KNA,2015,7,17.357822,-62.782998
Saint Lucia,LCA,2015,10.4,13.909444,-60.978893
Saint Vincent and the Grenadines,VCT,2015,7.2,12.984305,-61.287228
Sao Tome and Principe,STP,2015,6.8,0.18636,6.613081
Saudi Arabia,SAU,2015,0.2,23.885942,45.079162
Senegal,SEN,2015,0.5,14.497401,-14.452362
Serbia,SRB,2015,12.9,44.016521,21.005859
Seychelles,SYC,2015,6.7,-4.679574,55.491977
Sierra Leone,SLE,2015,8.2,8.460555,-11.779889
Singapore,SGP,2015,2.9,1.352083,103.819836
Slovakia,SVK,2015,12.5,48.669026,19.699024
Slovenia,SVN,2015,10.9,46.151241,14.995463
Solomon Islands,SLB,2015,1.6,-9.64571,160.156194
Somalia,SOM,2015,0.5,5.152149,46.199616
South Africa,ZAF,2015,11.5,-30.559482,22.937506
South Korea,KOR,2015,10.9,35.907757,127.766922
Spain,ESP,2015,10.6,40.463667,-3.74922
Sri Lanka,LKA,2015,4.5,7.873054,80.771797
Sudan,SDN,2015,2.7,12.862807,30.217636
Suriname,SUR,2015,6.5,3.919305,-56.027783
Swaziland,SWZ,2015,6.4,-26.522503,31.465866
Sweden,SWE,2015,8.7,60.128161,18.643501
Switzerland,CHE,2015,10.4,46.818188,8.227512
Syria,SYR,2015,1.4,34.802075,38.996815
Tajikistan,TJK,2015,2.4,38.861034,71.276093
Tanzania,TZA,2015,8.1,-6.369028,34.888822
Thailand,THA,2015,8.3,15.870032,100.992541
Timor,TLS,2015,1.2,-8.874217,125.727539
Togo,TGO,2015,1.9,8.619543,0.824782
Tonga,TON,2015,2.1,-21.178986,-175.198242
Trinidad and Tobago,TTO,2015,6.6,10.691803,-61.222503
Tunisia,TUN,2015,1.2,33.886917,9.537499
Turkey,TUR,2015,2.4,38.963745,35.243322
Turkmenistan,TKM,2015,5,38.969719,59.556278
Tuvalu,TUV,2015,1.3,-7.109535,177.64933
Uganda,UGA,2015,10.5,1.373333,32.290275
Ukraine,UKR,2015,11.8,48.379433,31.16558
United Arab Emirates,ARE,2015,4.3,23.424076,53.847818
United Kingdom,GBR,2015,12,55.378051,-3.435973
United States,USA,2015,9,37.09024,-95.712891
Uruguay,URY,2015,7,-32.522779,-55.765835
Uzbekistan,UZB,2015,4.8,41.377491,64.585262
Vanuatu,VUT,2015,1.2,-15.376706,166.959158
Venezuela,VEN,2015,8.3,6.42375,-66.58973
Vietnam,VNM,2015,8.7,14.058324,108.277199
Yemen,YEM,2015,0.2,15.552727,48.516388
Zambia,ZMB,2015,4,-13.133897,27.849332
Zimbabwe,ZWE,2015,4.8,-19.015438,29.154857
